ALL_Acidovorax_carolinensis_strain_NA2_NZ_CP021359,Acidovorax_carolinensis_strain_NA2_NZ_CP021359,Acidovorax_carolinensis_strain_NA2_plasmid_pACNA2_1_NZ_CP021360,ALL_Acidovorax_carolinensis_strain_P3_NZ_CP021362,Acidovorax_carolinensis_strain_P3_NZ_CP021362,Acidovorax_carolinensis_strain_P3_plasmid_pACP3_3_NZ_CP021365,Acidovorax_carolinensis_strain_P3_plasmid_pACP3_1_NZ_CP021363,Acidovorax_carolinensis_strain_P3_plasmid_pACP3_2_NZ_CP021364,ALL_Acidovorax_carolinensis_strain_P4_NZ_CP021366,Acidovorax_carolinensis_strain_P4_plasmid_pACP4_1_NZ_CP021367,Acidovorax_carolinensis_strain_P4_NZ_CP021366,Acidovorax_carolinensis_strain_P4_plasmid_pACP4_3_NZ_CP021369,Acidovorax_carolinensis_strain_P4_plasmid_pACP4_2_NZ_CP021368,Acidovorax_carolinensis_strain_P4_plasmid_pACP4_4_NZ_CP021370,ALL_Acidovorax_citrulli_strain_M6_NZ_CP029373,Acidovorax_citrulli_strain_M6_NZ_CP029373,Acidovorax_citrulli_strain_M6_plasmid_pACM6_NZ_CP029374,ALL_Acidovorax_sp_JS42_NC_008782,Acidovorax_sp_JS42_plasmid_pAOVO01_NC_008765,Acidovorax_sp_JS42_plasmid_pAOVO02_NC_008766,Acidovorax_sp_JS42_NC_008782,ALL_Acidovorax_sp_T1_NZ_CP021648,Acidovorax_sp_T1_NZ_CP021648,Acidovorax_sp_T1_plasmid_p3_T1_NZ_CP021651,Acidovorax_sp_T1_plasmid_p2_T1_NZ_CP021650,Acidovorax_sp_T1_plasmid_p1_T1_NZ_CP021649,Acidovorax_avenae_subsp_avenae_ATCC_19860_NC_015138,Acidovorax_avenae_subsp_avenae_NZ_CP028302,Acidovorax_avenae_subsp_avenae_strain_AA78_5_NZ_CP028287,Acidovorax_avenae_subsp_avenae_strain_AA81_1_NZ_CP028288,Acidovorax_avenae_subsp_avenae_strain_AA99_2_NZ_CP028289,Acidovorax_avenae_subsp_avenae_strain_COLB1_CP028291,Acidovorax_avenae_subsp_avenae_strain_INDB2_CP028292,Acidovorax_avenae_subsp_avenae_strain_INV_CP028293,Acidovorax_avenae_subsp_avenae_strain_KL3_NZ_CP028294,Acidovorax_avenae_subsp_avenae_strain_MD5_NZ_CP028295,Acidovorax_avenae_subsp_avenae_strain_MDB1_CP028296,Acidovorax_avenae_subsp_avenae_strain_MOR_CP028297,Acidovorax_avenae_subsp_avenae_strain_NCT3_CP028298,Acidovorax_avenae_subsp_avenae_strain_QH1_CP028299,Acidovorax_avenae_subsp_avenae_strain_QHB1_CP028300,Acidovorax_avenae_subsp_avenae_strain_SH7_NZ_CP028303,Acidovorax_avenae_subsp_avenae_strain_Sa2_CP028301,Acidovorax_carolinensis_strain_NA3_chromosome_1_NZ_CP021361,Acidovorax_cattleyae_strain_CAT98_1_NZ_CP028290,Acidovorax_citrulli_AAC00_1_NC_008752,Acidovorax_citrulli_strain_KACC17005_NZ_CP023687,Acidovorax_ebreus_TPSY_NC_011992,Acidovorax_sp_1608163_NZ_CP033069,Acidovorax_sp_HDW3_NZ_CP049885,Acidovorax_sp_KKS102_NC_018708,Acidovorax_sp_RAC01_NZ_CP016447
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","APS58_RS03745, ,psos,hypothetical protein","APS58_RS03745, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C8244_RS19800, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -","CBP35_RS05190, ,psos,TolC family protein","CBP35_RS05190, ,psos,TolC family protein"," - , -"," - , -"," - , -","CBP36_RS13745, ,psos,TolC family protein"," - , -","CBP36_RS13745, ,psos,TolC family protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","DTPSY_RS07335, ,psos,TolC family protein"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -","CBP35_RS05195, ,psos,DUF3240 family protein","CBP35_RS05195, ,psos,DUF3240 family protein"," - , -"," - , -"," - , -","CBP36_RS13740, ,psos,DUF3240 family protein"," - , -","CBP36_RS13740, ,psos,DUF3240 family protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","DTPSY_RS07330, ,psos,DUF3240 domain-containing protein"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS00260, ,psos,hypothetical protein","CBP33_RS00260, ,psos,hypothetical protein"," - , -","CBP35_RS18665, ,psos,cupin domain-containing protein","CBP35_RS18665, ,psos,cupin domain-containing protein"," - , -"," - , -"," - , -","CBP36_RS00290, ,psos,cupin domain-containing protein"," - , -","CBP36_RS00290, ,psos,cupin domain-containing protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS00260, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS01015, ,psos,GntR family transcriptional regulator","CBP33_RS01015, ,psos,GntR family transcriptional regulator"," - , -","CBP35_RS17830, ,psos,GntR family transcriptional regulator","CBP35_RS17830, ,psos,GntR family transcriptional regulator"," - , -"," - , -"," - , -","CBP36_RS01125, ,psos,GntR family transcriptional regulator"," - , -","CBP36_RS01125, ,psos,GntR family transcriptional regulator"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","AJS_RS01025, ,psos,GntR family transcriptional regulator"," - , -"," - , -","AJS_RS01025, ,psos,GntR family transcriptional regulator"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS01035, ,psos,GntR family transcriptional regulator"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C380_RS15895, ,psos,FCD domain-containing protein"," - , -"
"CBP33_RS01100, ,psos,alpha/beta fold hydrolase","CBP33_RS01100, ,psos,alpha/beta fold hydrolase"," - , -","CBP35_RS17760, ,psos,alpha/beta fold hydrolase","CBP35_RS17760, ,psos,alpha/beta fold hydrolase"," - , -"," - , -"," - , -","CBP36_RS01195, ,psos,alpha/beta fold hydrolase"," - , -","CBP36_RS01195, ,psos,alpha/beta fold hydrolase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","AJS_RS01110, ,psos,alpha/beta fold hydrolase"," - , -"," - , -","AJS_RS01110, ,psos,alpha/beta fold hydrolase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS01105, ,psos,alpha/beta fold hydrolase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C380_RS15950, ,psos,2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase"," - , -"
"CBP33_RS01540, ,psos,cytochrome c5 family protein","CBP33_RS01540, ,psos,cytochrome c5 family protein"," - , -","CBP35_RS17320, ,psos,cytochrome c5 family protein","CBP35_RS17320, ,psos,cytochrome c5 family protein"," - , -"," - , -"," - , -","CBP36_RS01635, ,psos,cytochrome c5 family protein"," - , -","CBP36_RS01635, ,psos,cytochrome c5 family protein"," - , -"," - , -"," - , -","APS58_RS11135, ,psos,cytochrome c5 family protein","APS58_RS11135, ,psos,cytochrome c5 family protein"," - , -","AJS_RS01605, ,psos,cytochrome c5 family protein"," - , -"," - , -","AJS_RS01605, ,psos,cytochrome c5 family protein","CCX87_RS01280, ,psos,cytochrome c5 family protein","CCX87_RS01280, ,psos,cytochrome c5 family protein"," - , -"," - , -"," - , -","ACAV_RS02215, ,psos,cytochrome c5 family protein","C8244_RS01810, ,psos,cytochrome c5 family protein","C8241_RS01995, ,psos,cytochrome c5 family protein","C8245_RS03865, ,psos,cytochrome c5 family protein","C8247_RS01735, ,psos,cytochrome c5 family protein","C8234_00965, ,psos,cytochrome c5 family protein","C8237_01940, ,psos,cytochrome c5 family protein","C8239_02265, ,psos,cytochrome c5 family protein","C8238_RS01810, ,psos,cytochrome c5 family protein","C8246_RS13320, ,psos,cytochrome c5 family protein","C8232_00885, ,psos,cytochrome c5 family protein"," - , -","C8243_01635, ,psos,cytochrome c5 family protein","C8248_01440, ,psos,cytochrome c5 family protein","C8242_02000, ,psos,cytochrome c5 family protein","C7Y68_RS02145, ,psos,cytochrome c5 family protein","C8235_01875, ,psos,cytochrome c5 family protein","CBP34_RS01550, ,psos,cytochrome c5 family protein","C8240_RS01790, ,psos,cytochrome c5 family protein","AAVE_RS01905, ,psos,cytochrome c5 family protein"," - , -","DTPSY_RS01555, ,psos,cytochrome c5 family protein","EAG14_RS19980, ,psos,cytochrome c5 family protein","G7045_RS13400, ,psos,cytochrome c5 family protein","C380_RS02025, ,psos,cytochrome c","BSY15_RS08900, ,psos,cytochrome c5 family protein"
"CBP33_RS19215, ,psos,hypothetical protein","CBP33_RS19215, ,psos,hypothetical protein"," - , -","CBP35_RS21620, ,psos,hypothetical protein","CBP35_RS21620, ,psos,hypothetical protein"," - , -"," - , -"," - , -","CBP36_RS22505, ,psos,hypothetical protein"," - , -","CBP36_RS22505, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS19555, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS02880, ,psos,universal stress protein","CBP33_RS02880, ,psos,universal stress protein"," - , -","CBP35_RS15640, ,psos,universal stress protein","CBP35_RS15640, ,psos,universal stress protein"," - , -"," - , -"," - , -","CBP36_RS03305, ,psos,universal stress protein"," - , -","CBP36_RS03305, ,psos,universal stress protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS02830, ,psos,universal stress protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS19035, ,psos,hypothetical protein","CBP33_RS19035, ,psos,hypothetical protein"," - , -","CBP35_RS21565, ,psos,hypothetical protein","CBP35_RS21565, ,psos,hypothetical protein"," - , -"," - , -"," - , -","CBP36_RS22065, ,psos,hypothetical protein"," - , -","CBP36_RS22065, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS19340, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS05305, ,psos,non-heme iron oxygenase ferredoxin subunit","CBP33_RS05305, ,psos,non-heme iron oxygenase ferredoxin subunit"," - , -","CBP35_RS13190, ,psos,non-heme iron oxygenase ferredoxin subunit","CBP35_RS13190, ,psos,non-heme iron oxygenase ferredoxin subunit"," - , -"," - , -"," - , -","CBP36_RS05755, ,psos,non-heme iron oxygenase ferredoxin subunit"," - , -","CBP36_RS05755, ,psos,non-heme iron oxygenase ferredoxin subunit"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS05140, ,psos,non-heme iron oxygenase ferredoxin subunit"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS05320, ,psos,aromatic ring-hydroxylating dioxygenase subunit alpha","CBP33_RS05320, ,psos,aromatic ring-hydroxylating dioxygenase subunit alpha"," - , -","CBP35_RS13175, ,psos,aromatic ring-hydroxylating dioxygenase subunit alpha","CBP35_RS13175, ,psos,aromatic ring-hydroxylating dioxygenase subunit alpha"," - , -"," - , -"," - , -","CBP36_RS05770, ,psos,aromatic ring-hydroxylating dioxygenase subunit alpha"," - , -","CBP36_RS05770, ,psos,aromatic ring-hydroxylating dioxygenase subunit alpha"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","AJS_RS22080, ,psos,aromatic ring-hydroxylating dioxygenase subunit alpha"," - , -"," - , -","AJS_RS22080, ,psos,aromatic ring-hydroxylating dioxygenase subunit alpha"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS05155, ,psos,aromatic ring-hydroxylating dioxygenase subunit alpha"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C380_RS15925, ,psos,Rieske 2Fe-2S domain-containing protein"," - , -"
"CBP33_RS05325, ,psos,aromatic-ring-hydroxylating dioxygenase subunit beta","CBP33_RS05325, ,psos,aromatic-ring-hydroxylating dioxygenase subunit beta"," - , -","CBP35_RS13170, ,psos,aromatic-ring-hydroxylating dioxygenase subunit beta","CBP35_RS13170, ,psos,aromatic-ring-hydroxylating dioxygenase subunit beta"," - , -"," - , -"," - , -","CBP36_RS05775, ,psos,aromatic-ring-hydroxylating dioxygenase subunit beta"," - , -","CBP36_RS05775, ,psos,aromatic-ring-hydroxylating dioxygenase subunit beta"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","AJS_RS15340, ,psos,aromatic-ring-hydroxylating dioxygenase subunit beta"," - , -"," - , -","AJS_RS15340, ,psos,aromatic-ring-hydroxylating dioxygenase subunit beta"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS05160, ,psos,aromatic-ring-hydroxylating dioxygenase subunit beta"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C380_RS15930, ,psos,3-phenylpropionate/cinnamic acid dioxygenase subunit beta"," - , -"
"CBP33_RS05345, ,psos,aldolase","CBP33_RS05345, ,psos,aldolase"," - , -","CBP35_RS13150, ,psos,aldolase","CBP35_RS13150, ,psos,aldolase"," - , -"," - , -"," - , -","CBP36_RS05795, ,psos,aldolase"," - , -","CBP36_RS05795, ,psos,aldolase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS05180, ,psos,aldolase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS05455, ,psos,extradiol ring-cleavage dioxygenase","CBP33_RS05455, ,psos,extradiol ring-cleavage dioxygenase"," - , -","CBP35_RS13040, ,psos,extradiol ring-cleavage dioxygenase","CBP35_RS13040, ,psos,extradiol ring-cleavage dioxygenase"," - , -"," - , -"," - , -","CBP36_RS05905, ,psos,extradiol ring-cleavage dioxygenase"," - , -","CBP36_RS05905, ,psos,extradiol ring-cleavage dioxygenase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS05290, ,psos,extradiol ring-cleavage dioxygenase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS06845, ,psos,ABC transporter substrate-binding protein","CBP33_RS06845, ,psos,ABC transporter substrate-binding protein"," - , -","CBP35_RS11520, ,psos,ABC transporter substrate-binding protein","CBP35_RS11520, ,psos,ABC transporter substrate-binding protein"," - , -"," - , -"," - , -","CBP36_RS07415, ,psos,ABC transporter substrate-binding protein"," - , -","CBP36_RS07415, ,psos,ABC transporter substrate-binding protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS06745, ,psos,ABC transporter substrate-binding protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS07270, ,psos,signal peptidase II","CBP33_RS07270, ,psos,signal peptidase II"," - , -","CBP35_RS11095, ,psos,signal peptidase II","CBP35_RS11095, ,psos,signal peptidase II"," - , -"," - , -"," - , -","CBP36_RS07840, ,psos,signal peptidase II"," - , -","CBP36_RS07840, ,psos,signal peptidase II"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","AJS_RS06250, ,psos,signal peptidase II"," - , -"," - , -","AJS_RS06250, ,psos,signal peptidase II"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS07175, ,psos,signal peptidase II"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C380_RS05725, ,psos,signal peptidase II","BSY15_RS19825, ,psos,signal peptidase II"
"CBP33_RS07425, ,psos,hypothetical protein","CBP33_RS07425, ,psos,hypothetical protein"," - , -","CBP35_RS10940, ,psos,hypothetical protein","CBP35_RS10940, ,psos,hypothetical protein"," - , -"," - , -"," - , -","CBP36_RS07995, ,psos,hypothetical protein"," - , -","CBP36_RS07995, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS07330, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS07435, ,psos,hypothetical protein","CBP33_RS07435, ,psos,hypothetical protein"," - , -","CBP35_RS10930, ,psos,hypothetical protein","CBP35_RS10930, ,psos,hypothetical protein"," - , -"," - , -"," - , -","CBP36_RS08005, ,psos,hypothetical protein"," - , -","CBP36_RS08005, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C8248_13510, ,psos,hypothetical protein"," - , -"," - , -"," - , -","CBP34_RS07340, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS08010, ,psos,NADPH-dependent oxidoreductase","CBP33_RS08010, ,psos,NADPH-dependent oxidoreductase"," - , -","CBP35_RS10355, ,psos,NADPH-dependent oxidoreductase","CBP35_RS10355, ,psos,NADPH-dependent oxidoreductase"," - , -"," - , -"," - , -","CBP36_RS08580, ,psos,NADPH-dependent oxidoreductase"," - , -","CBP36_RS08580, ,psos,NADPH-dependent oxidoreductase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS07915, ,psos,NADPH-dependent oxidoreductase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS09175, ,psos,ATP-dependent DNA helicase","CBP33_RS09175, ,psos,ATP-dependent DNA helicase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","APS58_RS18550, ,psos,ATP-dependent DNA helicase","APS58_RS18550, ,psos,ATP-dependent DNA helicase"," - , -","AJS_RS09140, ,psos,ATP-dependent DNA helicase"," - , -"," - , -","AJS_RS09140, ,psos,ATP-dependent DNA helicase","CCX87_RS08690, ,psos,ATP-dependent DNA helicase","CCX87_RS08690, ,psos,ATP-dependent DNA helicase"," - , -"," - , -"," - , -","ACAV_RS09930, ,psos,ATP-dependent DNA helicase","C8244_RS08705, ,psos,ATP-dependent DNA helicase"," - , -","C8245_RS20990, ,psos,ATP-dependent DNA helicase"," - , -","C8234_06415, ,psos,helicase","C8237_07880, ,psos,helicase","C8239_08745, ,psos,helicase","C8238_RS08495, ,psos,ATP-dependent DNA helicase"," - , -","C8232_05525, ,psos,helicase","C8236_08110, ,psos,helicase","C8243_08145, ,psos,helicase","C8248_07995, ,psos,helicase","C8242_07215, ,psos,helicase","C7Y68_RS09585, ,psos,ATP-dependent DNA helicase","C8235_06940, ,psos,helicase"," - , -"," - , -","AAVE_RS16220, ,psos,ATP-dependent DNA helicase","CQB05_RS24775, ,psos,DEAD/DEAH box helicase","DTPSY_RS09545, ,psos,ATP-dependent DNA helicase","EAG14_RS11210, ,psos,ATP-dependent DNA helicase"," - , -","C380_RS10910, ,psos,ATP-dependent DNA helicase","BSY15_RS16375, ,psos,ATP-dependent DNA helicase"
"CBP33_RS19140, ,psos,hypothetical protein","CBP33_RS19140, ,psos,hypothetical protein"," - , -","CBP35_RS21490, ,psos,hypothetical protein","CBP35_RS21490, ,psos,hypothetical protein"," - , -"," - , -"," - , -","CBP36_RS22155, ,psos,hypothetical protein"," - , -","CBP36_RS22155, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP34_RS19420, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS11735, ,psos,Kef family K(+) transporter","CBP33_RS11735, ,psos,Kef family K(+) transporter"," - , -","CBP35_RS06795, ,psos,Kef family K(+) transporter","CBP35_RS06795, ,psos,Kef family K(+) transporter"," - , -"," - , -"," - , -","CBP36_RS12130, ,psos,Kef family K(+) transporter"," - , -","CBP36_RS12130, ,psos,Kef family K(+) transporter"," - , -"," - , -"," - , -","APS58_RS17215, ,psos,Kef family K(+) transporter","APS58_RS17215, ,psos,Kef family K(+) transporter"," - , -"," - , -"," - , -"," - , -"," - , -","CCX87_RS07255, ,psos,Kef family K(+) transporter","CCX87_RS07255, ,psos,Kef family K(+) transporter"," - , -"," - , -"," - , -","ACAV_RS08550, ,psos,Kef family K(+) transporter"," - , -","C8241_RS08190, ,psos,Kef family K(+) transporter","C8245_RS22640, ,psos,Kef family K(+) transporter"," - , -","C8234_05810, ,psos,Kef family K(+) transporter","C8237_07235, ,psos,Kef family K(+) transporter","C8239_07800, ,psos,Kef family K(+) transporter","C8238_RS07510, ,psos,Kef family K(+) transporter","C8246_RS05795, ,psos,Kef family K(+) transporter","C8232_04995, ,psos,Kef family K(+) transporter"," - , -","C8243_07560, ,psos,Kef family K(+) transporter"," - , -","C8242_07020, ,psos,Kef family K(+) transporter","C7Y68_RS08075, ,psos,Kef family K(+) transporter"," - , -","CBP34_RS11830, ,psos,Kef family K(+) transporter"," - , -","AAVE_RS08995, ,psos,Kef family K(+) transporter","CQB05_RS11670, ,psos,Kef family K(+) transporter"," - , -","EAG14_RS11325, ,psos,Kef family K(+) transporter"," - , -","C380_RS15075, ,psos,Kef family K(+) transporter","BSY15_RS20140, ,psos,sodium:proton antiporter"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","AJS_RS06455, ,psos,arsenical resistance protein ArsH"," - , -"," - , -","AJS_RS06455, ,psos,arsenical resistance protein ArsH"," - , -"," - , -"," - , -"," - , -"," - , -","ACAV_RS17960, ,psos,arsenical resistance protein ArsH"," - , -","C8241_RS16895, ,psos,arsenical resistance protein ArsH","C8245_RS11910, ,psos,arsenical resistance protein ArsH"," - , -"," - , -"," - , -"," - , -","C8238_RS15545, ,psos,arsenical resistance protein ArsH"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C7Y68_RS09195, ,psos,arsenical resistance protein ArsH","C8235_12495, ,psos,arsenical resistance protein ArsH","CBP34_RS11315, ,psos,arsenical resistance protein ArsH"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","BSY15_RS00515, ,psos,arsenical resistance protein ArsH"
