,ALL_Thiomonas_arsenitoxydans_strain_3As_NC_014145,ALL_Thiomonas_intermedia_K12_NC_014153,ALL_Thiomonas_intermedia_strain_ATCC_15466_NZ_CP020046,ALL_Thiomonas_sp_Bio17B3_chromosome_BIO17B3_NZ_LR131947,ALL_Thiomonas_sp_CB2_chromosome_CB2_NZ_LR131956,ALL_Thiomonas_sp_OC7_chromosome_OC7_NZ_LR131953,ALL_Thiomonas_sp_Sup16B3_chromosome_SUP16B3_NZ_LR131950,ALL_Thiomonas_sp_X19_chromosome_THIX_NZ_LT605203
GO948_RS12670,1,1,1,1,1,1,1,1
TOC7_RS05930,1,1,1,1,1,1,1,1
GO985_RS06140,1,1,1,1,1,1,1,1
THIX_RS08175,1,1,1,1,1,1,1,1
THI_RS05860,1,1,1,1,1,1,1,1
TINT_RS05135,1,1,1,1,1,1,1,1
BVH73_RS13235,1,1,1,1,1,1,1,1
GO970_RS03770,1,1,1,1,1,1,1,1
GO948_RS14835,1,1,1,1,1,1,1,1
TOC7_RS03745,1,1,1,1,1,1,1,1
GO985_RS08290,1,1,1,1,1,1,1,1
THIX_RS06875,1,1,1,1,1,1,1,1
THI_RS06030,1,1,1,1,1,1,1,1
TINT_RS05210,1,1,1,1,1,1,1,1
BVH73_RS12910,1,1,1,1,1,1,1,1
GO970_RS03695,1,1,1,1,1,1,1,1
GO948_RS14910,1,1,1,1,1,1,1,1
TOC7_RS03670,1,1,1,1,1,1,1,1
GO985_RS08365,1,1,1,1,1,1,1,1
THIX_RS15765,1,1,1,1,1,1,1,1
THI_RS07025,1,1,1,1,1,1,1,1
TINT_RS06075,1,1,1,1,1,1,1,1
BVH73_RS00410,1,1,1,1,1,1,1,1
GO970_RS01995,1,1,1,1,1,1,1,1
GO948_RS16595,1,1,1,1,1,1,1,1
TOC7_RS01985,1,1,1,1,1,1,1,1
GO985_RS10055,1,1,1,1,1,1,1,1
THIX_RS00605,1,1,1,1,1,1,1,1
THI_RS11440,1,1,1,1,1,1,1,1
TINT_RS10790,1,1,1,1,1,1,1,1
BVH73_RS03365,1,1,1,1,1,1,1,1
GO970_RS15750,1,1,1,1,1,1,1,1
GO948_RS02925,1,1,1,1,1,1,1,1
TOC7_RS15850,1,1,1,1,1,1,1,1
GO985_RS14945,1,1,1,1,1,1,1,1
THIX_RS22505,1,1,1,1,1,1,1,1
THI_RS12620,1,1,1,1,1,1,1,1
TINT_RS11800,1,1,1,1,1,1,1,1
BVH73_RS11520,1,1,1,1,1,1,1,1
GO970_RS14800,1,1,1,1,1,1,1,1
GO948_RS03875,1,1,1,1,1,1,1,1
TOC7_RS14900,1,1,1,1,1,1,1,1
GO985_RS15895,1,1,1,1,1,1,1,1
THIX_RS08215,1,1,1,1,1,1,1,1
THI_RS06150,1,1,1,1,1,1,1,1
TINT_RS05330,1,1,1,1,1,1,1,1
BVH73_RS13030,1,1,1,1,1,1,1,1
GO970_RS03575,1,1,1,1,1,1,1,1
GO948_RS15030,1,1,1,1,1,1,1,1
TOC7_RS03550,1,1,1,1,1,1,1,1
GO985_RS08485,1,1,1,1,1,1,1,1
THIX_RS06535,1,1,1,1,1,1,1,1
THI_RS06870,1,1,1,1,1,1,1,1
TINT_RS05925,1,1,1,1,1,1,1,1
BVH73_RS00580,1,1,1,1,1,1,1,1
GO970_RS02145,1,1,1,1,1,1,1,1
GO948_RS16445,1,1,1,1,1,1,1,1
TOC7_RS02135,1,1,1,1,1,1,1,1
GO985_RS09905,1,1,1,1,1,1,1,1
THIX_RS00750,1,1,1,1,1,1,1,1
THI_RS08120,1,1,1,1,1,1,1,1
TINT_RS08150,1,1,1,1,1,1,1,1
BVH73_RS14990,1,1,1,1,1,1,1,1
GO970_RS01000,1,1,1,1,1,1,1,1
GO948_RS17590,1,1,1,1,1,1,1,1
TOC7_RS00990,1,1,1,1,1,1,1,1
GO985_RS11050,1,1,1,1,1,1,1,1
THIX_RS05305,1,1,1,1,1,1,1,1
THI_RS09715,1,1,1,1,1,1,1,1
TINT_RS08540,1,1,1,1,1,1,1,1
BVH73_RS13780,1,1,1,1,1,1,1,1
GO970_RS18305,1,1,1,1,1,1,1,1
GO948_RS00365,1,1,1,1,1,1,1,1
TOC7_RS18420,1,1,1,1,1,1,1,1
GO985_RS12390,1,1,1,1,1,1,1,1
THIX_RS04835,1,1,1,1,1,1,1,1
THI_RS05740,1,1,1,1,1,1,1,1
TINT_RS05005,1,1,1,1,1,1,1,1
BVH73_RS13115,1,1,1,1,1,1,1,1
GO970_RS03890,1,1,1,1,1,1,1,1
GO948_RS14715,1,1,1,1,1,1,1,1
TOC7_RS03865,1,1,1,1,1,1,1,1
GO985_RS08170,1,1,1,1,1,1,1,1
THIX_RS22015,1,1,1,1,1,1,1,1
THI_RS07775,1,1,1,1,1,1,1,1
TINT_RS06875,1,1,1,1,1,1,1,1
BVH73_RS00225,1,1,1,1,1,1,1,1
GO970_RS01190,1,1,1,1,1,1,1,1
GO948_RS17400,1,1,1,1,1,1,1,1
TOC7_RS01180,1,1,1,1,1,1,1,1
GO985_RS10860,1,1,1,1,1,1,1,1
THIX_RS10595,1,1,1,1,1,1,1,1
THI_RS13620,1,1,1,1,1,1,1,1
TINT_RS12805,1,1,1,1,1,1,1,1
BVH73_RS10685,1,1,1,1,1,1,1,1
GO970_RS05910,1,1,1,1,1,1,1,1
GO948_RS12690,1,1,1,1,1,1,1,1
TOC7_RS05910,1,1,1,1,1,1,1,1
GO985_RS06160,1,1,1,1,1,1,1,1
THIX_RS08190,1,1,1,1,1,1,1,1
THI_RS04015,1,1,1,1,1,1,1,1
TINT_RS03480,1,1,1,1,1,1,1,1
BVH73_RS04535,1,1,1,1,1,1,1,1
GO970_RS13965,1,1,1,1,1,1,1,1
GO948_RS04680,1,1,1,1,1,1,1,1
TOC7_RS14025,1,1,1,1,1,1,1,1
GO985_RS16720,1,1,1,1,1,1,1,1
THIX_RS07490,1,1,1,1,1,1,1,1
THI_RS08575,1,1,1,1,1,1,1,1
TINT_RS07395,1,1,1,1,1,1,1,1
BVH73_RS15315,1,1,1,1,1,1,1,1
GO970_RS00550,1,1,1,1,1,1,1,1
GO948_RS18040,1,1,1,1,1,1,1,1
TOC7_RS00540,1,1,1,1,1,1,1,1
GO985_RS11495,1,1,1,1,1,1,1,1
THIX_RS12725,1,1,1,1,1,1,1,1
THI_RS12710,1,1,1,1,1,1,1,1
TINT_RS11890,1,1,1,1,1,1,1,1
BVH73_RS11430,1,1,1,1,1,1,1,1
GO970_RS14710,1,1,1,1,1,1,1,1
GO948_RS03965,1,1,1,1,1,1,1,1
TOC7_RS14810,1,1,1,1,1,1,1,1
GO985_RS15985,1,1,1,1,1,1,1,1
THIX_RS07150,1,1,1,1,1,1,1,1
THI_RS01560,1,1,1,1,1,1,1,1
TINT_RS01505,1,1,1,1,1,1,1,1
BVH73_RS05940,1,1,1,1,1,1,1,1
GO970_RS11025,1,1,1,1,1,1,1,1
GO948_RS07610,1,1,1,1,1,1,1,1
TOC7_RS11055,1,1,1,1,1,1,1,1
GO985_RS01035,1,1,1,1,1,1,1,1
THIX_RS04055,1,1,1,1,1,1,1,1
THI_RS12080,1,1,1,1,1,1,1,1
TINT_RS11325,1,1,1,1,1,1,1,1
BVH73_RS11995,1,1,1,1,1,1,1,1
GO970_RS15280,1,1,1,1,1,1,1,1
GO948_RS03395,1,1,1,1,1,1,1,1
TOC7_RS15380,1,1,1,1,1,1,1,1
GO985_RS15415,1,1,1,1,1,1,1,1
THIX_RS09950,1,1,1,1,1,1,1,1
THI_RS17255,1,1,1,1,1,1,1,1
TINT_RS15705,1,1,1,1,1,1,1,1
BVH73_RS07890,1,1,1,1,1,1,1,1
GO970_RS09060,1,1,1,1,1,1,1,1
GO948_RS09555,1,1,1,1,1,1,1,1
TOC7_RS09075,1,1,1,1,1,1,1,1
GO985_RS03000,1,1,1,1,1,1,1,1
THIX_RS03260,1,1,1,1,1,1,1,1
THI_RS07370,1,1,1,1,1,1,1,1
TINT_RS06465,1,1,1,1,1,1,1,1
BVH73_RS14430,1,1,1,1,1,1,1,1
GO970_RS01605,1,1,1,1,1,1,1,1
GO948_RS16985,1,1,1,1,1,1,1,1
TOC7_RS01595,1,1,1,1,1,1,1,1
GO985_RS10445,1,1,1,1,1,1,1,1
THIX_RS11710,1,1,1,1,1,1,1,1
THI_RS00505,1,1,1,1,1,1,1,1
TINT_RS00475,1,1,1,1,1,1,1,1
BVH73_RS09015,1,1,1,1,1,1,1,1
GO970_RS09920,1,1,1,1,1,1,1,1
GO948_RS08720,1,1,1,1,1,1,1,1
TOC7_RS09930,1,1,1,1,1,1,1,1
GO985_RS02145,1,1,1,1,1,1,1,1
THIX_RS01525,1,1,1,1,1,1,1,1
THI_RS03810,1,1,1,1,1,1,1,1
TINT_RS03280,1,1,1,1,1,1,1,1
BVH73_RS04720,1,1,1,1,1,1,1,1
GO970_RS13745,1,1,1,1,1,1,1,1
GO948_RS04900,1,1,1,1,1,1,1,1
TOC7_RS13805,1,1,1,1,1,1,1,1
GO985_RS16940,1,1,1,1,1,1,1,1
THIX_RS02350,1,1,1,1,1,1,1,1
THI_RS09870,1,1,1,1,1,1,1,1
TINT_RS08690,1,1,1,1,1,1,1,1
BVH73_RS13625,1,1,1,1,1,1,1,1
GO970_RS18155,1,1,1,1,1,1,1,1
GO948_RS00515,1,1,1,1,1,1,1,1
TOC7_RS18270,1,1,1,1,1,1,1,1
GO985_RS12540,1,1,1,1,1,1,1,1
THIX_RS14110,1,1,1,1,1,1,1,1
THI_RS13485,1,1,1,1,1,1,1,1
TINT_RS12655,1,1,1,1,1,1,1,1
BVH73_RS10815,1,1,1,1,1,1,1,1
GO970_RS05775,1,1,1,1,1,1,1,1
GO948_RS12825,1,1,1,1,1,1,1,1
TOC7_RS05775,1,1,1,1,1,1,1,1
GO985_RS06295,1,1,1,1,1,1,1,1
THIX_RS07325,1,1,1,1,1,1,1,1
THI_RS13820,1,1,1,1,1,1,1,1
TINT_RS12990,1,1,1,1,1,1,1,1
BVH73_RS10495,1,1,1,1,1,1,1,1
GO970_RS06110,1,1,1,1,1,1,1,1
GO948_RS12490,1,1,1,1,1,1,1,1
TOC7_RS06110,1,1,1,1,1,1,1,1
GO985_RS05960,1,1,1,1,1,1,1,1
THIX_RS04610,1,1,1,1,1,1,1,1
THI_RS04880,1,1,1,1,1,1,1,1
TINT_RS04165,1,1,1,1,1,1,1,1
BVH73_RS03845,1,1,1,1,1,1,1,1
GO970_RS04755,1,1,1,1,1,1,1,1
GO948_RS13850,1,1,1,1,1,1,1,1
TOC7_RS04730,1,1,1,1,1,1,1,1
GO985_RS07305,1,1,1,1,1,1,1,1
THIX_RS20150,1,1,1,1,1,1,1,1
THI_RS05460,1,1,1,1,1,1,1,1
TINT_RS04720,1,1,1,1,1,1,1,1
BVH73_RS12690,1,1,1,1,1,1,1,1
GO970_RS04185,1,1,1,1,1,1,1,1
GO948_RS14420,1,1,1,1,1,1,1,1
TOC7_RS04160,1,1,1,1,1,1,1,1
GO985_RS07875,1,1,1,1,1,1,1,1
THIX_RS18575,1,1,1,1,1,1,1,1
THI_RS13890,1,1,1,1,1,1,1,1
TINT_RS13060,1,1,1,1,1,1,1,1
BVH73_RS10405,1,1,1,1,1,1,1,1
GO970_RS06180,1,1,1,1,1,1,1,1
GO948_RS12420,1,1,1,1,1,1,1,1
TOC7_RS06180,1,1,1,1,1,1,1,1
GO985_RS05890,1,1,1,1,1,1,1,1
THIX_RS20515,1,1,1,1,1,1,1,1
THI_RS05900,1,1,1,1,1,1,1,1
TINT_RS05175,1,1,1,1,1,1,1,1
BVH73_RS13275,1,1,1,1,1,1,1,1
GO970_RS03730,1,1,1,1,1,1,1,1
GO948_RS14875,1,1,1,1,1,1,1,1
TOC7_RS03705,1,1,1,1,1,1,1,1
GO985_RS08330,1,1,1,1,1,1,1,1
THIX_RS13310,1,1,1,1,1,1,1,1
THI_RS11245,1,1,1,1,1,1,1,1
TINT_RS10595,1,1,1,1,1,1,1,1
BVH73_RS02345,1,1,1,1,1,1,1,1
GO970_RS15975,1,1,1,1,1,1,1,1
GO948_RS02700,1,1,1,1,1,1,1,1
TOC7_RS16075,1,1,1,1,1,1,1,1
GO985_RS14720,1,1,1,1,1,1,1,1
THIX_RS17380,1,1,1,1,1,1,1,1
THI_RS13985,1,1,1,1,1,1,1,1
TINT_RS13155,1,1,1,1,1,1,1,1
BVH73_RS10300,1,1,1,1,1,1,1,1
GO970_RS06280,1,1,1,1,1,1,1,1
GO948_RS12320,1,1,1,1,1,1,1,1
TOC7_RS06280,1,1,1,1,1,1,1,1
GO985_RS05790,1,1,1,1,1,1,1,1
THIX_RS03860,1,1,1,1,1,1,1,1
THI_RS17495,1,1,1,1,1,1,1,1
TINT_RS15875,1,1,1,1,1,1,1,1
BVH73_RS08145,1,1,1,1,1,1,1,1
GO970_RS09190,1,1,1,1,1,1,1,1
GO948_RS09425,1,1,1,1,1,1,1,1
TOC7_RS09205,1,1,1,1,1,1,1,1
GO985_RS02870,1,1,1,1,1,1,1,1
THIX_RS02125,1,1,1,1,1,1,1,1
THI_RS17555,1,1,1,1,1,1,1,1
TINT_RS15935,1,1,1,1,1,1,1,1
BVH73_RS08200,1,1,1,1,1,1,1,1
GO970_RS09260,1,1,1,1,1,1,1,1
GO948_RS09355,1,1,1,1,1,1,1,1
TOC7_RS09275,1,1,1,1,1,1,1,1
GO985_RS02800,1,1,1,1,1,1,1,1
THIX_RS02085,1,1,1,1,1,1,1,1
THI_RS06060,1,1,1,1,1,1,1,1
TINT_RS05240,1,1,1,1,1,1,1,1
BVH73_RS12940,1,1,1,1,1,1,1,1
GO970_RS03665,1,1,1,1,1,1,1,1
GO948_RS14940,1,1,1,1,1,1,1,1
TOC7_RS03640,1,1,1,1,1,1,1,1
GO985_RS08395,1,1,1,1,1,1,1,1
THIX_RS03665,1,1,1,1,1,1,1,1
THI_RS09975,1,1,1,1,1,1,1,1
TINT_RS08795,1,1,1,1,1,1,1,1
BVH73_RS13510,1,1,1,1,1,1,1,1
GO970_RS18045,1,1,1,1,1,1,1,1
GO948_RS00625,1,1,1,1,1,1,1,1
TOC7_RS18160,1,1,1,1,1,1,1,1
GO985_RS12650,1,1,1,1,1,1,1,1
THIX_RS13620,1,1,1,1,1,1,1,1
THI_RS10520,1,1,1,1,1,1,1,1
TINT_RS09315,1,1,1,1,1,1,1,1
BVH73_RS01410,1,1,1,1,1,1,1,1
GO970_RS03060,1,1,1,1,1,1,1,1
GO948_RS15525,1,1,1,1,1,1,1,1
TOC7_RS03055,1,1,1,1,1,1,1,1
GO985_RS08985,1,1,1,1,1,1,1,1
THIX_RS13535,1,1,1,1,1,1,1,1
THI_RS15190,1,1,1,1,1,1,1,1
TINT_RS13750,1,1,1,1,1,1,1,1
BVH73_RS06260,1,1,1,1,1,1,1,1
GO970_RS06850,1,1,1,1,1,1,1,1
GO948_RS11750,1,1,1,1,1,1,1,1
TOC7_RS06850,1,1,1,1,1,1,1,1
GO985_RS05220,1,1,1,1,1,1,1,1
THIX_RS02585,1,1,1,1,1,1,1,1
THI_RS17425,1,1,1,1,1,1,1,1
TINT_RS15770,1,1,1,1,1,1,1,1
BVH73_RS08075,1,1,1,1,1,1,1,1
GO970_RS09125,1,1,1,1,1,1,1,1
GO948_RS09490,1,1,1,1,1,1,1,1
TOC7_RS09140,1,1,1,1,1,1,1,1
GO985_RS02935,1,1,1,1,1,1,1,1
THIX_RS02520,1,1,1,1,1,1,1,1
THI_RS01240,1,1,1,1,1,1,1,1
TINT_RS01135,1,1,1,1,1,1,1,1
BVH73_RS09680,1,1,1,1,1,1,1,1
GO970_RS10595,1,1,1,1,1,1,1,1
GO948_RS08040,1,1,1,1,1,1,1,1
TOC7_RS10625,1,1,1,1,1,1,1,1
