THI_RS09980	DUF3106 domain-containing protein	TINT_RS08800	DUF3106 domain-containing protein	BVH73_RS15865	DUF3106 domain-containing protein	GO970_RS18040	DUF3106 domain-containing protein	GO948_RS00630	DUF3106 domain-containing protein	TOC7_RS18155	DUF3106 domain-containing protein	GO985_RS12655	DUF3106 domain-containing protein	THIX_RS13625	DUF3106 domain-containing protein
THI_RS04905	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	TINT_RS04190	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	BVH73_RS03820	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	GO970_RS04730	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	GO948_RS13875	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	TOC7_RS04705	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	GO985_RS07330	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	THIX_RS03015	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha
THI_RS10095	nucleoside-diphosphate kinase	TINT_RS08915	nucleoside-diphosphate kinase	BVH73_RS13395	nucleoside-diphosphate kinase	GO970_RS17920	nucleoside-diphosphate kinase	GO948_RS00750	nucleoside-diphosphate kinase	TOC7_RS18035	nucleoside-diphosphate kinase	GO985_RS12775	nucleoside-diphosphate kinase	THIX_RS15710	nucleoside-diphosphate kinase
THI_RS13720	TIGR04438 family Trp-rich protein	TINT_RS12890	TIGR04438 family Trp-rich protein	BVH73_RS10600	TIGR04438 family Trp-rich protein	GO970_RS06005	TIGR04438 family Trp-rich protein	GO948_RS12595	TIGR04438 family Trp-rich protein	TOC7_RS06005	TIGR04438 family Trp-rich protein	GO985_RS06065	TIGR04438 family Trp-rich protein	THIX_RS09450	TIGR04438 family Trp-rich protein
THI_RS07790	phenylalanine--tRNA ligase subunit alpha	TINT_RS06890	phenylalanine--tRNA ligase subunit alpha	BVH73_RS00210	phenylalanine--tRNA ligase subunit alpha	GO970_RS01175	phenylalanine--tRNA ligase subunit alpha	GO948_RS17415	phenylalanine--tRNA ligase subunit alpha	TOC7_RS01165	phenylalanine--tRNA ligase subunit alpha	GO985_RS10875	phenylalanine--tRNA ligase subunit alpha	THIX_RS10580	phenylalanine--tRNA ligase subunit alpha
THI_RS08560	LLM class flavin-dependent oxidoreductase	TINT_RS07380	LLM class flavin-dependent oxidoreductase	BVH73_RS15300	LLM class flavin-dependent oxidoreductase	GO970_RS00565	MsnO8 family LLM class oxidoreductase	GO948_RS18025	MsnO8 family LLM class oxidoreductase	TOC7_RS00555	MsnO8 family LLM class oxidoreductase	GO985_RS11480	MsnO8 family LLM class oxidoreductase	THIX_RS17925	LLM class flavin-dependent oxidoreductase
THI_RS09865	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	TINT_RS08685	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	BVH73_RS13630	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	GO970_RS18160	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	GO948_RS00510	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	TOC7_RS18275	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	GO985_RS12535	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	THIX_RS09635	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit
THI_RS11250	kinase/pyrophosphorylase	TINT_RS10600	kinase/pyrophosphorylase	BVH73_RS02350	kinase/pyrophosphorylase	GO970_RS15970	kinase/pyrophosphorylase	GO948_RS02705	kinase/pyrophosphorylase	TOC7_RS16070	kinase/pyrophosphorylase	GO985_RS14725	kinase/pyrophosphorylase	THIX_RS17385	kinase/pyrophosphorylase
THI_RS15515	glycine zipper 2TM domain-containing protein	TINT_RS14075	glycine zipper 2TM domain-containing protein	BVH73_RS06605	glycine zipper 2TM domain-containing protein	GO970_RS07185	glycine zipper 2TM domain-containing protein	GO948_RS11415	glycine zipper 2TM domain-containing protein	TOC7_RS07200	glycine zipper 2TM domain-containing protein	GO985_RS04880	glycine zipper 2TM domain-containing protein	THIX_RS03615	glycine zipper 2TM domain-containing protein
THI_RS00715	phosphoribulokinase	TINT_RS00690	phosphoribulokinase	BVH73_RS09265	phosphoribulokinase	GO970_RS10060	phosphoribulokinase	GO948_RS08580	phosphoribulokinase	TOC7_RS10070	phosphoribulokinase	GO985_RS02005	phosphoribulokinase	THIX_RS02740	phosphoribulokinase
THI_RS13490	CBS domain-containing protein	TINT_RS12660	CBS domain-containing protein	BVH73_RS10810	CBS domain-containing protein	GO970_RS05780	CBS domain-containing protein	GO948_RS12820	CBS domain-containing protein	TOC7_RS05780	CBS domain-containing protein	GO985_RS06290	CBS domain-containing protein	THIX_RS07320	CBS domain-containing protein
THI_RS06750	FliA/WhiG family RNA polymerase sigma factor	TINT_RS05805	FliA/WhiG family RNA polymerase sigma factor	BVH73_RS00700	FliA/WhiG family RNA polymerase sigma factor	GO970_RS02270	FliA/WhiG family RNA polymerase sigma factor	GO948_RS16320	FliA/WhiG family RNA polymerase sigma factor	TOC7_RS02260	FliA/WhiG family RNA polymerase sigma factor	GO985_RS09780	FliA/WhiG family RNA polymerase sigma factor	THIX_RS00945	FliA/WhiG family RNA polymerase sigma factor
THI_RS08000	dihydrofolate reductase	TINT_RS06955	dihydrofolate reductase	BVH73_RS14865	dihydrofolate reductase	GO970_RS01110	dihydrofolate reductase	GO948_RS17480	dihydrofolate reductase	TOC7_RS01100	dihydrofolate reductase	GO985_RS10940	dihydrofolate reductase	THIX_RS13195	dihydrofolate reductase
THI_RS10210	N-acetylmuramoyl-L-alanine amidase	TINT_RS09030	N-acetylmuramoyl-L-alanine amidase	BVH73_RS01145	N-acetylmuramoyl-L-alanine amidase	GO970_RS02755	AMIN domain-containing protein	GO948_RS15830	AMIN domain-containing protein	TOC7_RS02750	AMIN domain-containing protein	GO985_RS09290	AMIN domain-containing protein	THIX_RS14610	N-acetylmuramoyl-L-alanine amidase
THI_RS11210	peroxiredoxin	TINT_RS10560	peroxiredoxin	BVH73_RS02310	peroxiredoxin	GO970_RS16010	peroxiredoxin	GO948_RS02665	peroxiredoxin	TOC7_RS16110	peroxiredoxin	GO985_RS14685	peroxiredoxin	THIX_RS17345	peroxiredoxin
THI_RS14325	IS5 family transposase	TINT_RS09745	IS5 family transposase	BVH73_RS02060	IS5 family transposase	GO970_RS19305	IS5 family transposase	GO948_RS01340	IS5 family transposase	TOC7_RS17445	IS5 family transposase	GO985_RS13360	IS5 family transposase	THIX_RS17945	IS5 family transposase
THI_RS01820	ABC transporter ATP-binding protein/permease	TINT_RS01780	ABC transporter ATP-binding protein/permease	BVH73_RS05775	ABC transporter ATP-binding protein/permease	GO970_RS11360	ATP-binding cassette domain-containing protein	GO948_RS07270	ATP-binding cassette domain-containing protein	TOC7_RS11415	ATP-binding cassette domain-containing protein	GO985_RS00700	ATP-binding cassette domain-containing protein	THIX_RS04760	ABC transporter ATP-binding protein/permease
THI_RS06385	elongation factor P	TINT_RS05530	elongation factor P	BVH73_RS00975	elongation factor P	GO970_RS02555	elongation factor P	GO948_RS16030	elongation factor P	TOC7_RS02550	elongation factor P	GO985_RS09490	elongation factor P	THIX_RS19320	elongation factor P
THI_RS13015	biopolymer transporter ExbD	TINT_RS12195	biopolymer transporter ExbD/TolR	BVH73_RS11145	protein TolR	GO970_RS14415	protein TolR	GO948_RS04260	protein TolR	TOC7_RS14515	protein TolR	GO985_RS16280	protein TolR	THIX_RS07700	ExbD/TolR family protein
THI_RS13645	sterol carrier protein	TINT_RS12815	sterol-binding protein	BVH73_RS10675	sterol-binding protein	GO970_RS05930	sterol-binding protein	GO948_RS12670	sterol-binding protein	TOC7_RS05930	sterol-binding protein	GO985_RS06140	sterol-binding protein	THIX_RS08175	sterol-binding protein
THI_RS05860	HAD-IB family hydrolase	TINT_RS05135	HAD family hydrolase	BVH73_RS13235	HAD family hydrolase	GO970_RS03770	HAD-IB family hydrolase	GO948_RS14835	HAD-IB family hydrolase	TOC7_RS03745	HAD-IB family hydrolase	GO985_RS08290	HAD-IB family hydrolase	THIX_RS06875	HAD family hydrolase
THI_RS06030	transporter component YeeE/YedE family	TINT_RS05210	membrane protein	BVH73_RS12910	hypothetical protein	GO970_RS03695	YeeE/YedE family protein	GO948_RS14910	YeeE/YedE family protein	TOC7_RS03670	YeeE/YedE family protein	GO985_RS08365	YeeE/YedE family protein	THIX_RS15765	YeeE/YedE family protein
THI_RS07025	flagellar basal body M-ring protein FliF	TINT_RS06075	flagellar basal body M-ring protein FliF	BVH73_RS00410	flagellar basal body M-ring protein FliF	GO970_RS01995	flagellar basal body M-ring protein FliF	GO948_RS16595	flagellar basal body M-ring protein FliF	TOC7_RS01985	flagellar basal body M-ring protein FliF	GO985_RS10055	flagellar basal body M-ring protein FliF	THIX_RS00605	flagellar basal body M-ring protein FliF
THI_RS11440	LysR family transcriptional regulator	TINT_RS10790	LysR family transcriptional regulator	BVH73_RS03365	LysR family transcriptional regulator	GO970_RS15750	LysR family transcriptional regulator	GO948_RS02925	LysR family transcriptional regulator	TOC7_RS15850	LysR family transcriptional regulator	GO985_RS14945	LysR family transcriptional regulator	THIX_RS22505	LysR family transcriptional regulator
THI_RS12620	ribosome silencing factor	TINT_RS11800	ribosome silencing factor	BVH73_RS11520	ribosome silencing factor	GO970_RS14800	ribosome silencing factor	GO948_RS03875	ribosome silencing factor	TOC7_RS14900	ribosome silencing factor	GO985_RS15895	ribosome silencing factor	THIX_RS08215	ribosome silencing factor
THI_RS06150	amino-acid N-acetyltransferase	TINT_RS05330	amino-acid N-acetyltransferase	BVH73_RS13030	amino-acid N-acetyltransferase	GO970_RS03575	amino-acid N-acetyltransferase	GO948_RS15030	amino-acid N-acetyltransferase	TOC7_RS03550	amino-acid N-acetyltransferase	GO985_RS08485	amino-acid N-acetyltransferase	THIX_RS06535	amino-acid N-acetyltransferase
THI_RS06870	HDOD domain-containing protein	TINT_RS05925	HDOD domain-containing protein	BVH73_RS00580	HDOD domain-containing protein	GO970_RS02145	HDOD domain-containing protein	GO948_RS16445	HDOD domain-containing protein	TOC7_RS02135	HDOD domain-containing protein	GO985_RS09905	HDOD domain-containing protein	THIX_RS00750	HDOD domain-containing protein
THI_RS08120	ABC transporter permease	TINT_RS08150	ABC transporter permease	BVH73_RS14990	ABC transporter permease	GO970_RS01000	ABC transporter permease	GO948_RS17590	ABC transporter permease	TOC7_RS00990	ABC transporter permease	GO985_RS11050	ABC transporter permease	THIX_RS05305	ABC transporter permease
THI_RS09715	NADH-quinone oxidoreductase subunit NuoB	TINT_RS08540	4Fe-4S dicluster domain-containing protein	BVH73_RS13780	NADH-quinone oxidoreductase subunit NuoB	GO970_RS18305	NADH-quinone oxidoreductase subunit NuoB	GO948_RS00365	NADH-quinone oxidoreductase subunit NuoB	TOC7_RS18420	NADH-quinone oxidoreductase subunit NuoB	GO985_RS12390	NADH-quinone oxidoreductase subunit NuoB	THIX_RS04835	NADH-quinone oxidoreductase subunit NuoB
THI_RS05740	4-hydroxyphenylpyruvate dioxygenase	TINT_RS05005	4-hydroxyphenylpyruvate dioxygenase	BVH73_RS13115	4-hydroxyphenylpyruvate dioxygenase	GO970_RS03890	4-hydroxyphenylpyruvate dioxygenase	GO948_RS14715	4-hydroxyphenylpyruvate dioxygenase	TOC7_RS03865	4-hydroxyphenylpyruvate dioxygenase	GO985_RS08170	4-hydroxyphenylpyruvate dioxygenase	THIX_RS22015	4-hydroxyphenylpyruvate dioxygenase
THI_RS07775	translation initiation factor IF-3	TINT_RS06875	translation initiation factor IF-3	BVH73_RS00225	translation initiation factor IF-3	GO970_RS01190	translation initiation factor IF-3	GO948_RS17400	translation initiation factor IF-3	TOC7_RS01180	translation initiation factor IF-3	GO985_RS10860	translation initiation factor IF-3	THIX_RS10595	translation initiation factor IF-3
THI_RS13620	septum formation inhibitor Maf	TINT_RS12805	septum formation inhibitor Maf	BVH73_RS10685	septum formation inhibitor Maf	GO970_RS05910	septum formation inhibitor Maf	GO948_RS12690	septum formation inhibitor Maf	TOC7_RS05910	septum formation inhibitor Maf	GO985_RS06160	septum formation inhibitor Maf	THIX_RS08190	septum formation inhibitor Maf
THI_RS04015	glutamate synthase subunit beta	TINT_RS03480	glutamate synthase subunit beta	BVH73_RS04535	glutamate synthase subunit beta	GO970_RS13965	glutamate synthase small subunit	GO948_RS04680	glutamate synthase small subunit	TOC7_RS14025	glutamate synthase small subunit	GO985_RS16720	glutamate synthase small subunit	THIX_RS07490	glutamate synthase subunit beta
THI_RS08575	alpha/beta hydrolase	TINT_RS07395	alpha/beta hydrolase	BVH73_RS15315	alpha/beta hydrolase	GO970_RS00550	alpha/beta hydrolase fold domain-containing protein	GO948_RS18040	alpha/beta hydrolase fold domain-containing protein	TOC7_RS00540	alpha/beta hydrolase fold domain-containing protein	GO985_RS11495	alpha/beta hydrolase fold domain-containing protein	THIX_RS12725	alpha/beta hydrolase
THI_RS12710	holo-ACP synthase	TINT_RS11890	holo-ACP synthase	BVH73_RS11430	holo-ACP synthase	GO970_RS14710	holo-ACP synthase	GO948_RS03965	holo-ACP synthase	TOC7_RS14810	holo-ACP synthase	GO985_RS15985	holo-ACP synthase	THIX_RS07150	holo-ACP synthase
THI_RS01560	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	TINT_RS01505	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	BVH73_RS05940	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	GO970_RS11025	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	GO948_RS07610	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	TOC7_RS11055	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	GO985_RS01035	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	THIX_RS04055	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
THI_RS12080	NADH-quinone oxidoreductase subunit NuoE	TINT_RS11325	NADH-quinone oxidoreductase subunit NuoE	BVH73_RS11995	NADH-quinone oxidoreductase subunit NuoE	GO970_RS15280	NADH-quinone oxidoreductase subunit NuoE	GO948_RS03395	NADH-quinone oxidoreductase subunit NuoE	TOC7_RS15380	NADH-quinone oxidoreductase subunit NuoE	GO985_RS15415	NADH-quinone oxidoreductase subunit NuoE	THIX_RS09950	NADH-quinone oxidoreductase subunit NuoE
THI_RS17255	primosomal protein N	TINT_RS15705	primosomal protein N	BVH73_RS07890	primosomal protein N	GO970_RS09060	primosomal protein N	GO948_RS09555	primosomal protein N	TOC7_RS09075	primosomal protein N	GO985_RS03000	primosomal protein N	THIX_RS03260	primosomal protein N
THI_RS07370	30S ribosome-binding factor RbfA	TINT_RS06465	30S ribosome-binding factor RbfA	BVH73_RS14430	30S ribosome-binding factor RbfA	GO970_RS01605	30S ribosome-binding factor RbfA	GO948_RS16985	30S ribosome-binding factor RbfA	TOC7_RS01595	30S ribosome-binding factor RbfA	GO985_RS10445	30S ribosome-binding factor RbfA	THIX_RS11710	30S ribosome-binding factor RbfA
THI_RS00505	CinA family protein	TINT_RS00475	CinA family protein	BVH73_RS09015	nicotinamide-nucleotide amidohydrolase family protein	GO970_RS09920	nicotinamide-nucleotide amidohydrolase family protein	GO948_RS08720	nicotinamide-nucleotide amidohydrolase family protein	TOC7_RS09930	nicotinamide-nucleotide amidohydrolase family protein	GO985_RS02145	nicotinamide-nucleotide amidohydrolase family protein	THIX_RS01525	CinA family protein
THI_RS03810	c-type cytochrome biogenesis protein CcsB	TINT_RS03280	c-type cytochrome biogenesis protein CcsB	BVH73_RS04720	c-type cytochrome biogenesis protein CcsB	GO970_RS13745	c-type cytochrome biogenesis protein CcsB	GO948_RS04900	c-type cytochrome biogenesis protein CcsB	TOC7_RS13805	c-type cytochrome biogenesis protein CcsB	GO985_RS16940	c-type cytochrome biogenesis protein CcsB	THIX_RS02350	c-type cytochrome biogenesis protein CcsB
THI_RS09870	energy transducer TonB	TINT_RS08690	energy transducer TonB	BVH73_RS13625	energy transducer TonB	GO970_RS18155	TonB family protein	GO948_RS00515	TonB family protein	TOC7_RS18270	TonB family protein	GO985_RS12540	TonB family protein	THIX_RS14110	energy transducer TonB
THI_RS13485	alpha/beta hydrolase	TINT_RS12655	alpha/beta hydrolase	BVH73_RS10815	alpha/beta hydrolase	GO970_RS05775	alpha/beta fold hydrolase	GO948_RS12825	alpha/beta fold hydrolase	TOC7_RS05775	alpha/beta fold hydrolase	GO985_RS06295	alpha/beta fold hydrolase	THIX_RS07325	alpha/beta hydrolase
THI_RS13820	DUF2244 domain-containing protein	TINT_RS12990	DUF2244 domain-containing protein	BVH73_RS10495	DUF2244 domain-containing protein	GO970_RS06110	DUF2244 domain-containing protein	GO948_RS12490	DUF2244 domain-containing protein	TOC7_RS06110	DUF2244 domain-containing protein	GO985_RS05960	DUF2244 domain-containing protein	THIX_RS04610	DUF2244 domain-containing protein
THI_RS04880	DUF2892 domain-containing protein	TINT_RS04165	DUF2892 domain-containing protein	BVH73_RS03845	DUF2892 domain-containing protein	GO970_RS04755	DUF2892 domain-containing protein	GO948_RS13850	DUF2892 domain-containing protein	TOC7_RS04730	DUF2892 domain-containing protein	GO985_RS07305	DUF2892 domain-containing protein	THIX_RS20150	DUF2892 domain-containing protein
THI_RS05460	symmetrical bis(5-nucleosyl)-tetraphosphatase	TINT_RS04720	symmetrical bis(5-nucleosyl)-tetraphosphatase	BVH73_RS12690	symmetrical bis(5-nucleosyl)-tetraphosphatase	GO970_RS04185	symmetrical bis(5-nucleosyl)-tetraphosphatase	GO948_RS14420	symmetrical bis(5-nucleosyl)-tetraphosphatase	TOC7_RS04160	symmetrical bis(5-nucleosyl)-tetraphosphatase	GO985_RS07875	symmetrical bis(5-nucleosyl)-tetraphosphatase	THIX_RS18575	symmetrical bis(5-nucleosyl)-tetraphosphatase
THI_RS13890	50S ribosomal protein L17	TINT_RS13060	50S ribosomal protein L17	BVH73_RS10405	50S ribosomal protein L17	GO970_RS06180	50S ribosomal protein L17	GO948_RS12420	50S ribosomal protein L17	TOC7_RS06180	50S ribosomal protein L17	GO985_RS05890	50S ribosomal protein L17	THIX_RS20515	50S ribosomal protein L17
THI_RS05900	ADP-glyceromanno-heptose 6-epimerase	TINT_RS05175	ADP-glyceromanno-heptose 6-epimerase	BVH73_RS13275	ADP-glyceromanno-heptose 6-epimerase	GO970_RS03730	ADP-glyceromanno-heptose 6-epimerase	GO948_RS14875	ADP-glyceromanno-heptose 6-epimerase	TOC7_RS03705	ADP-glyceromanno-heptose 6-epimerase	GO985_RS08330	ADP-glyceromanno-heptose 6-epimerase	THIX_RS13310	ADP-glyceromanno-heptose 6-epimerase
THI_RS11245	phosphoenolpyruvate synthase	TINT_RS10595	phosphoenolpyruvate synthase	BVH73_RS02345	phosphoenolpyruvate synthase	GO970_RS15975	phosphoenolpyruvate synthase	GO948_RS02700	phosphoenolpyruvate synthase	TOC7_RS16075	phosphoenolpyruvate synthase	GO985_RS14720	phosphoenolpyruvate synthase	THIX_RS17380	phosphoenolpyruvate synthase
THI_RS13985	peptide chain release factor N(5)-glutamine methyltransferase	TINT_RS13155	peptide chain release factor N(5)-glutamine methyltransferase	BVH73_RS10300	peptide chain release factor N(5)-glutamine methyltransferase	GO970_RS06280	peptide chain release factor N(5)-glutamine methyltransferase	GO948_RS12320	peptide chain release factor N(5)-glutamine methyltransferase	TOC7_RS06280	peptide chain release factor N(5)-glutamine methyltransferase	GO985_RS05790	peptide chain release factor N(5)-glutamine methyltransferase	THIX_RS03860	peptide chain release factor N(5)-glutamine methyltransferase
THI_RS17495	ParA family protein	TINT_RS15875	ParA family protein	BVH73_RS08145	ParA family protein	GO970_RS09190	ParA family protein	GO948_RS09425	ParA family protein	TOC7_RS09205	ParA family protein	GO985_RS02870	ParA family protein	THIX_RS02125	ParA family protein
THI_RS17555	DUF3108 domain-containing protein	TINT_RS15935	DUF3108 domain-containing protein	BVH73_RS08200	DUF3108 domain-containing protein	GO970_RS09260	DUF3108 domain-containing protein	GO948_RS09355	DUF3108 domain-containing protein	TOC7_RS09275	DUF3108 domain-containing protein	GO985_RS02800	DUF3108 domain-containing protein	THIX_RS02085	DUF3108 domain-containing protein
THI_RS06060	hypothetical protein	TINT_RS05240	hypothetical protein	BVH73_RS12940	hypothetical protein	GO970_RS03665	hypothetical protein	GO948_RS14940	hypothetical protein	TOC7_RS03640	hypothetical protein	GO985_RS08395	hypothetical protein	THIX_RS03665	hypothetical protein
THI_RS09975	hypothetical protein	TINT_RS08795	hypothetical protein	BVH73_RS13510	hypothetical protein	GO970_RS18045	hypothetical protein	GO948_RS00625	hypothetical protein	TOC7_RS18160	hypothetical protein	GO985_RS12650	hypothetical protein	THIX_RS13620	hypothetical protein
THI_RS10520	DNA polymerase III subunit gamma/tau	TINT_RS09315	DNA polymerase III subunit gamma/tau	BVH73_RS01410	DNA polymerase III subunit gamma/tau	GO970_RS03060	DNA polymerase III subunit gamma/tau	GO948_RS15525	DNA polymerase III subunit gamma/tau	TOC7_RS03055	DNA polymerase III subunit gamma/tau	GO985_RS08985	DNA polymerase III subunit gamma/tau	THIX_RS13535	DNA polymerase III subunit gamma/tau
THI_RS15190	lipopolysaccharide transport periplasmic protein LptA	TINT_RS13750	lipopolysaccharide transport periplasmic protein LptA	BVH73_RS06260	lipopolysaccharide transport periplasmic protein LptA	GO970_RS06850	lipopolysaccharide transport periplasmic protein LptA	GO948_RS11750	lipopolysaccharide transport periplasmic protein LptA	TOC7_RS06850	lipopolysaccharide transport periplasmic protein LptA	GO985_RS05220	lipopolysaccharide transport periplasmic protein LptA	THIX_RS02585	lipopolysaccharide transport periplasmic protein LptA
THI_RS17425	homocysteine S-methyltransferase	TINT_RS15770	5-methyltetrahydrofolate--homocysteine methyltransferase	BVH73_RS08075	5-methyltetrahydrofolate--homocysteine methyltransferase	GO970_RS09125	5-methyltetrahydrofolate--homocysteine methyltransferase	GO948_RS09490	5-methyltetrahydrofolate--homocysteine methyltransferase	TOC7_RS09140	5-methyltetrahydrofolate--homocysteine methyltransferase	GO985_RS02935	5-methyltetrahydrofolate--homocysteine methyltransferase	THIX_RS02520	5-methyltetrahydrofolate--homocysteine methyltransferase
THI_RS01240	histidine phosphatase family protein	TINT_RS01135	histidine phosphatase family protein	BVH73_RS09680	histidine phosphatase family protein	GO970_RS10595	histidine phosphatase family protein	GO948_RS08040	histidine phosphatase family protein	TOC7_RS10625	histidine phosphatase family protein	GO985_RS01465	histidine phosphatase family protein	THIX_RS02450	histidine phosphatase family protein
THI_RS05145	hypothetical protein	TINT_RS04415	hypothetical protein	BVH73_RS12370	glutelin	GO970_RS04500	hypothetical protein	GO948_RS14105	hypothetical protein	TOC7_RS04475	hypothetical protein	GO985_RS07560	hypothetical protein	THIX_RS06695	hypothetical protein
THI_RS09680	phosphoglycolate phosphatase	TINT_RS08505	phosphoglycolate phosphatase	BVH73_RS13835	phosphoglycolate phosphatase	GO970_RS18340	phosphoglycolate phosphatase	GO948_RS00330	phosphoglycolate phosphatase	TOC7_RS18455	phosphoglycolate phosphatase	GO985_RS12355	phosphoglycolate phosphatase	THIX_RS09740	phosphoglycolate phosphatase
THI_RS10220	4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase	TINT_RS09040	4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase	BVH73_RS01155	4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase	GO970_RS02765	4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase	GO948_RS15820	4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase	TOC7_RS02760	4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase	GO985_RS09280	4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase	THIX_RS17165	4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase
